year,duration
1948,6.027397260273973
1949,9.315068493150685
1950,8.219178082191782
1951,9.863013698630137
1952,16.438356164383563
1953,17.534246575342465
1954,8.767123287671232
1955,2.191780821917808
1956,16.986301369863014
1957,9.315068493150685
1958,19.17808219178082
1959,9.863013698630137
1960,26.301369863013697
1961,18.08219178082192
1962,10.95890410958904
1963,8.767123287671232
1964,1.095890410958904
1965,6.575342465753424
1966,14.246575342465754
1967,0.0
1968,19.17808219178082
1969,18.63013698630137
1970,16.438356164383563
1971,9.863013698630137
1972,20.82191780821918
1973,20.273972602739725
1974,6.027397260273973
1975,9.863013698630137
1976,8.219178082191782
1977,24.65753424657534
1978,20.273972602739725
1979,14.794520547945206
1980,21.36986301369863
1981,23.013698630136986
1982,23.561643835616437
1983,26.84931506849315
1984,24.65753424657534
1985,6.027397260273973
1986,45.47945205479452
1987,37.26027397260274
1988,18.08219178082192
1989,23.561643835616437
1990,9.863013698630137
1991,20.273972602739725
1992,29.041095890410958
1993,38.9041095890411
1994,27.945205479452056
1995,29.041095890410958
1996,10.95890410958904
1997,15.342465753424657
1998,30.136986301369863
1999,18.08219178082192
2000,21.91780821917808
2001,15.342465753424657
2002,23.561643835616437
2003,21.36986301369863
2004,16.986301369863014
2005,17.534246575342465
2006,25.753424657534246
2007,25.753424657534246
2008,12.054794520547945
2009,10.41095890410959
2010,23.013698630136986
2011,16.986301369863014
2012,18.08219178082192
2013,7.123287671232877
2014,13.150684931506849
2015,32.87671232876713
2016,27.397260273972602
2017,16.438356164383563
2018,23.013698630136986
2019,12.602739726027398
2020,15.342465753424657
2021,13.150684931506849
2022,15.342465753424657
2023,14.794520547945206
